timestamp,price,rsi,rsiStatus,rsiTrend,slowdownDetected,slowdownSignificant,slowdownTimeframe,slowdownScore,confidence,minConfidenceRequired,priceAction,volumeRatio,volumeInterpretation,adxValue,adxState,adxBlocked,reasons
2026-08-23T10:58:44.802Z,76789.18,40.35,NEUTRAL,FLAT,YES,YES,1m,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,99.88,EXTREME_TREND,NO,⛔ ADX too high (99.88) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:58:54.784Z,76788.18,39.94,OVERSOLD,FLAT,YES,YES,10s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,99.43,EXTREME_TREND,NO,⛔ ADX too high (99.43) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:59:04.770Z,76787.91,40.65,NEUTRAL,FLAT,YES,YES,10s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,96.11,EXTREME_TREND,NO,⛔ ADX too high (96.11) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:59:14.767Z,76788.61,40.85,NEUTRAL,FLAT,YES,YES,30s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,97.76,EXTREME_TREND,NO,⛔ ADX too high (97.76) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:59:24.780Z,76792.38,43.07,NEUTRAL,FLAT,YES,YES,10s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,98.50,EXTREME_TREND,NO,⛔ ADX too high (98.50) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:59:34.779Z,76787.91,36.67,OVERSOLD,FLAT,YES,YES,10s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,99.37,EXTREME_TREND,NO,⛔ ADX too high (99.37) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:59:44.782Z,76789.35,36.89,OVERSOLD,FLAT,YES,YES,30s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,97.65,EXTREME_TREND,NO,⛔ ADX too high (97.65) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T10:59:54.767Z,76790.35,37.52,OVERSOLD,FLAT,YES,YES,10s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,99.23,EXTREME_TREND,NO,⛔ ADX too high (99.23) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T11:00:04.769Z,76790.36,37.53,OVERSOLD,FLAT,YES,YES,30s,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,100.00,EXTREME_TREND,NO,⛔ ADX too high (100.00) - Market trending (EXTREME_TREND); Max ADX for entry: 6
2026-08-23T11:00:14.778Z,76823.24,53.10,NEUTRAL,RISING,YES,YES,15m,1.00,0.00,0.50,NEUTRAL,1.00,NORMAL,100.00,EXTREME_TREND,NO,⛔ ADX too high (100.00) - Market trending (EXTREME_TREND); Max ADX for entry: 6
