tradeId,startTime,endTime,side,entryPrice,exitPrice,size,grossPnL,fee,netPnL,returnPercent,entryReason,exitReason,holdingHours,entryVolumeRatio,entryVolumeInterpretation,entryADX,entryADXState
1,2026-08-07T08:35:08.175Z,2026-08-07T11:49:08.591Z,SHORT,64523.23,65035.71,2.0600,-1055.71,1.06,-1056.76,-0.80,🔴 SLOWDOWN (30s, score: 1.00); RSI EXTREME overbought (77.6); ⏰ Entering BEFORE RSI reversal,✅ RSI oversold (33.9) with rising trend - taking profit,3.23,1.00,NORMAL,N/A,N/A
2,2026-08-07T11:53:18.604Z,2026-08-07T13:22:08.771Z,LONG,65000.00,65262.16,2.0500,537.43,0.54,536.89,0.40,🟢 SLOWDOWN (1m, score: 1.00); RSI EXTREME oversold (17.4); ⏰ Entering BEFORE RSI reversal,✅ RSI overbought (66.3) with falling trend - taking profit,1.48,1.00,NORMAL,N/A,N/A
3,2026-08-07T13:24:28.778Z,2026-08-07T21:25:49.646Z,LONG,65216.49,64986.33,2.0400,-469.53,0.47,-470.00,-0.35,🟢 SLOWDOWN (30s, score: 1.00); RSI oversold (31.8); ⏰ Entering BEFORE RSI reversal,⏰ Max holding time reached (8.0 hours),8.02,1.00,NORMAL,N/A,N/A
4,2026-08-07T21:27:39.653Z,2026-08-07T21:49:29.685Z,SHORT,64986.34,64988.01,2.0500,-3.42,0.00,-3.43,-0.00,🔴 SLOWDOWN (5m, score: 1.00); RSI EXTREME overbought (72.5); ⏰ Entering BEFORE RSI reversal,✅ RSI oversold (30.1) with rising trend - taking profit,0.36,1.00,NORMAL,N/A,N/A
5,2026-08-07T21:52:19.689Z,2026-08-07T23:34:29.901Z,LONG,64967.87,64888.69,2.0500,-162.32,0.16,-162.48,-0.12,🟢 SLOWDOWN (10s, score: 1.00); RSI EXTREME oversold (10.0); ⏰ Entering BEFORE RSI reversal,✅ RSI overbought (84.3) with falling trend - taking profit,1.70,1.00,NORMAL,N/A,N/A
6,2026-08-07T23:41:29.908Z,2026-08-08T03:42:40.351Z,SHORT,64900.00,65012.00,2.0500,-229.60,0.23,-229.83,-0.17,🔴 SLOWDOWN (1m, score: 1.00); RSI EXTREME overbought (95.7); ⏰ Entering BEFORE RSI reversal,✅ RSI oversold (16.8) with rising trend - taking profit,4.02,1.00,NORMAL,N/A,N/A
7,2026-08-08T03:45:40.356Z,2026-08-08T07:43:10.786Z,SHORT,65015.60,64957.00,2.0500,120.13,0.12,120.01,0.09,🔴 SLOWDOWN (1m, score: 1.00); RSI EXTREME overbought (93.8); ⏰ Entering BEFORE RSI reversal,✅ RSI oversold (35.1) with rising trend - taking profit,3.96,1.00,NORMAL,N/A,N/A
8,2026-08-08T07:43:50.786Z,2026-08-08T14:27:21.565Z,LONG,64957.00,65114.00,2.0500,321.85,0.32,321.53,0.24,🟢 SLOWDOWN (30s, score: 1.00); RSI oversold (42.2); ⏰ Entering BEFORE RSI reversal,✅ RSI overbought (69.6) with falling trend - taking profit,6.73,1.00,NORMAL,N/A,N/A
9,2026-08-08T14:30:01.574Z,2026-08-08T15:11:11.646Z,SHORT,65136.69,65102.73,2.0400,69.28,0.07,69.21,0.05,🔴 SLOWDOWN (1m, score: 1.00); RSI overbought (55.7); ⏰ Entering BEFORE RSI reversal,✅ RSI oversold (32.2) with rising trend - taking profit,0.69,1.00,NORMAL,N/A,N/A
10,2026-08-08T15:12:21.649Z,2026-08-08T19:14:02.065Z,SHORT,65105.99,65021.01,2.0400,173.36,0.17,173.19,0.13,🔴 SLOWDOWN (1m, score: 1.00); RSI EXTREME overbought (93.9); ⏰ Entering BEFORE RSI reversal,✅ RSI oversold (4.8) with rising trend - taking profit,4.03,1.00,NORMAL,N/A,N/A
